Tree	Node A-form	Node B-form	Node C-form	Node D-form	Node E-form	Node F-form	Node G-form	Node H-form	Node I-form	Node J-form	Node K-form	Node L-form	Node M-form	Node N-form	Node O-form	Node P-form	Node Q-form	Node R-form	Node S-form	Node T-form	Node U-form	Node V-form	Node W-form	Node X-form	Node Y-form	Node Z-form	Node A1-form	Node B1-form	Node C1-form	Absolute frequency	Relative frequency	Order	Grew-match query	Grew-match URL	Number of nodes	Head node	MI	MI3	Dice	logDice	t-score	simple-LL
več >fixed kot	več	kot																												80	299.5	AB	"pattern {A [form=""več""]; B [form=""kot""]; A -[fixed]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22ve%C4%8D%22%5D%3B%20B%20%5Bform%3D%22kot%22%5D%3B%20A%20-%5Bfixed%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	več	5.52	18.17	0.11	10.76	8.75	109.45
na >fixed primer	na	primer																												35	131.0	AB	"pattern {A [form=""na""]; B [form=""primer""]; A -[fixed]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22na%22%5D%3B%20B%20%5Bform%3D%22primer%22%5D%3B%20A%20-%5Bfixed%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	na	4.72	14.98	0.02	8.44	5.69	32.07
prav <advmod tako	prav	tako																												35	131.0	AB	"pattern {B [form=""tako""]; A [form=""prav""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22tako%22%5D%3B%20A%20%5Bform%3D%22prav%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	tako	6.31	16.57	0.08	10.42	5.84	63.90
še >fixed posebej	še	posebej																												25	93.6	AB	"pattern {A [form=""še""]; B [form=""posebej""]; A -[fixed]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22%C5%A1e%22%5D%3B%20B%20%5Bform%3D%22posebej%22%5D%3B%20A%20-%5Bfixed%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	še	7.15	16.43	0.05	9.71	4.96	57.92
še <advmod danes	še	danes																												22	82.4	AB	"pattern {B [form=""danes""]; A [form=""še""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22danes%22%5D%3B%20A%20%5Bform%3D%22%C5%A1e%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	danes	5.95	14.87	0.04	9.46	4.61	35.50
vse <advmod bolj	vse	bolj																												18	67.4	AB	"pattern {B [form=""bolj""]; A [form=""vse""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22bolj%22%5D%3B%20A%20%5Bform%3D%22vse%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	bolj	5.70	14.04	0.06	9.90	4.16	26.51
Prav <advmod tako	Prav	tako																												15	56.2	AB	"pattern {B [form=""tako""]; A [form=""Prav""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22tako%22%5D%3B%20A%20%5Bform%3D%22Prav%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	tako	6.87	14.69	0.04	9.44	3.84	32.33
še <advmod bolj	še	bolj																												15	56.2	AB	"pattern {B [form=""bolj""]; A [form=""še""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22bolj%22%5D%3B%20A%20%5Bform%3D%22%C5%A1e%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	bolj	4.09	11.91	0.03	8.70	3.65	8.73
bolj >conj (ali <cc manj)	bolj	ali	manj																											11	41.2	ABC	"pattern {A [form=""bolj""]; C [form=""manj""]; B [form=""ali""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22bolj%22%5D%3B%20C%20%5Bform%3D%22manj%22%5D%3B%20B%20%5Bform%3D%22ali%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	bolj	15.08	22.00	0.03	8.88	3.32	77.90
za <case zdaj	za	zdaj																												11	41.2	AB	"pattern {B [form=""zdaj""]; A [form=""za""]; B -[case]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22zdaj%22%5D%3B%20A%20%5Bform%3D%22za%22%5D%3B%20B%20-%5Bcase%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	zdaj	3.10	10.02	0.01	7.07	2.93	1.08
še <advmod enkrat	še	enkrat																												11	41.2	AB	"pattern {B [form=""enkrat""]; A [form=""še""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22enkrat%22%5D%3B%20A%20%5Bform%3D%22%C5%A1e%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	enkrat	6.35	13.27	0.02	8.55	3.28	20.32
prav <advmod nič	prav	nič																												10	37.4	AB	"pattern {B [form=""nič""]; A [form=""prav""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22ni%C4%8D%22%5D%3B%20A%20%5Bform%3D%22prav%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	nič	7.21	13.85	0.07	10.19	3.14	23.53
